team,stadium,state,stadium_lat,stadium_lng,hotel_name,hotel_url,hotel_lat,hotel_lng,distance_m,capacity
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,Holiday Inn Express & Suites Phoenix Airport by IHG,https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Phoenix+Airport+by+IHG/data=!4m10!3m9!1s0x872b0e5374e9b3ed:0x2859c922a8a1331d!5m2!4m1!1i2!8m2!3d33.416023!4d-112.007295!16s%2Fg%2F1tkq_qvg!19sChIJ7bPpdFMOK4cRHTOhqCLJWSg?authuser=0&hl=zh-CN&rclk=1,33.416023,-112.007295,26943.745570751846,
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,Holiday Inn & Suites Phoenix Airport North by IHG,https://www.google.com/maps/place/Holiday+Inn+%26+Suites+Phoenix+Airport+North+by+IHG/data=!4m10!3m9!1s0x872b0c2614cb8c77:0x90e6f3c83f99b6e1!5m2!4m1!1i2!8m2!3d33.464314!4d-111.986546!16s%2Fg%2F11h0r01nj!19sChIJd4zLFCYMK4cR4baZP8jz5pA?authuser=0&hl=zh-CN&rclk=1,33.464314,-111.986546,26775.14364254258,
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,Tru by Hilton Phoenix Glendale Westgate,https://www.google.com/maps/place/Tru+by+Hilton+Phoenix+Glendale+Westgate/data=!4m10!3m9!1s0x872b404a323ffe19:0xb0b9999e5fca0edf!5m2!4m1!1i2!8m2!3d33.5313988!4d-112.2658576!16s%2Fg%2F11hm00yycp!19sChIJGf4_MkpAK4cR3w7KX56ZubA?authuser=0&hl=zh-CN&rclk=1,33.5313988,-112.2658576,424.50081314771677,
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,汉普顿酒店及套房－凤凰城格伦代尔－梅龙镇,https://www.google.com/maps/place/%E6%B1%89%E6%99%AE%E9%A1%BF%E9%85%92%E5%BA%97%E5%8F%8A%E5%A5%97%E6%88%BF%EF%BC%8D%E5%87%A4%E5%87%B0%E5%9F%8E%E6%A0%BC%E4%BC%A6%E4%BB%A3%E5%B0%94%EF%BC%8D%E6%A2%85%E9%BE%99%E9%95%87/data=!4m10!3m9!1s0x872b404a4a32c021:0x889605f4838e269a!5m2!4m1!1i2!8m2!3d33.5313203!4d-112.2676453!16s%2Fg%2F1tmz7db9!19sChIJIcAySkpAK4cRmiaOg_QFlog?authuser=0&hl=zh-CN&rclk=1,33.5313203,-112.2676453,471.84770313001013,
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,Holiday Inn Glendale - Stadium & Ent Dist by IHG,https://www.google.com/maps/place/Holiday+Inn+Glendale+-+Stadium+%26+Ent+Dist+by+IHG/data=!4m10!3m9!1s0x872b4191a031a2d3:0x7d899710c0561d3b!5m2!4m1!1i2!8m2!3d33.525843!4d-112.27183!16s%2Fg%2F11qql54hdt!19sChIJ06IxoJFBK4cROx1WwBCXiX0?authuser=0&hl=zh-CN&rclk=1,33.525843,-112.27183,651.6699029195827,
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,凤凰城格伦代尔Spa万丽酒店,https://www.google.com/maps/place/%E5%87%A4%E5%87%B0%E5%9F%8E%E6%A0%BC%E4%BC%A6%E4%BB%A3%E5%B0%94Spa%E4%B8%87%E4%B8%BD%E9%85%92%E5%BA%97/data=!4m10!3m9!1s0x872b404a696283e9:0x1bbe280675f07027!5m2!4m1!1i2!8m2!3d33.5325139!4d-112.263409!16s%2Fg%2F1vn_zf35!19sChIJ6YNiaUpAK4cRJ3DwdQYovhs?authuser=0&hl=zh-CN&rclk=1,33.5325139,-112.263409,566.2154388308605,
Arizona Cardinals,State Farm Stadium,Arizona,33.5276291,-112.2651342,Home2 Suites By Hilton Glendale Westgate,https://www.google.com/maps/place/Home2+Suites+By+Hilton+Glendale+Westgate/data=!4m10!3m9!1s0x872b404a322ec73f:0x38fde907e8242cb3!5m2!4m1!1i2!8m2!3d33.531382!4d-112.2665907!16s%2Fg%2F11dxdg0ht9!19sChIJP8cuMkpAK4cRsywk6Afp_Tg?authuser=0&hl=zh-CN&rclk=1,33.531382,-112.2665907,438.5987393759571,
Atlanta Falcons,Mercedes-Benz Stadium,Georgia,33.7553276,-84.4031654,Signia by Hilton Atlanta Georgia World Congress Center,https://www.google.com/maps/place/Signia+by+Hilton+Atlanta+Georgia+World+Congress+Center/data=!4m10!3m9!1s0x88f5037e025cc129:0xa04069b92cd55810!5m2!4m1!1i2!8m2!3d33.758968!4d-84.401052!16s%2Fg%2F11txjd0dr4!19sChIJKcFcAn4D9YgREFjVLLlpQKA?authuser=0&hl=zh-CN&rclk=1,33.758968,-84.401052,449.47854632583267,
Atlanta Falcons,Mercedes-Benz Stadium,Georgia,33.7553276,-84.4031654,Holiday Inn Express & Suites Atlanta Downtown by IHG,https://www.google.com/maps/place/Holiday+Inn+Express+%26+Suites+Atlanta+Downtown+by+IHG/data=!4m10!3m9!1s0x88f503875ccdfde1:0x5dca864ab21f802!5m2!4m1!1i2!8m2!3d33.75789!4d-84.389892!16s%2Fg%2F1tczwsgy!19sChIJ4f3NXIcD9YgRAvghq2So3AU?authuser=0&hl=zh-CN&rclk=1,33.75789,-84.389892,1259.7451688796514,
Atlanta Falcons,Mercedes-Benz Stadium,Georgia,33.7553276,-84.4031654,希尔顿亚特兰大,https://www.google.com/maps/place/%E5%B8%8C%E5%B0%94%E9%A1%BF%E4%BA%9A%E7%89%B9%E5%85%B0%E5%A4%A7/data=!4m10!3m9!1s0x88f504770c2ef2ff:0x9592238ffb29be97!5m2!4m1!1i2!8m2!3d33.7615008!4d-84.3836006!16s%2Fm%2F0wfgsck!19sChIJ__IuDHcE9YgRl74p-48jkpU?authuser=0&hl=zh-CN&rclk=1,33.7615008,-84.3836006,1934.565513308529,
Atlanta Falcons,Mercedes-Benz Stadium,Georgia,33.7553276,-84.4031654,REVERB Downtown Atlanta,https://www.google.com/maps/place/REVERB+Downtown+Atlanta/data=!4m10!3m9!1s0x88f50316d8555a21:0x9c9ee79e00631820!5m2!4m1!1i2!8m2!3d33.7535846!4d-84.3990786!16s%2Fg%2F11j8rz8v6p!19sChIJIVpV2BYD9YgRIBhjAJ7nnpw?authuser=0&hl=zh-CN&rclk=1,33.7535846,-84.3990786,424.63641694968413,
