indicator_id,indicator_name,unit,workbook,sheet,min_year,max_year,observations
airtravel-cy2023-airport-count,Number of commercial airports with scheduled service,count,副本环境数据汇总.xlsx,AirTravel_CY2023,2023,2023,50
airtravel-cy2023-cy22-enplanements,Commercial enplanements (CY 2022 baseline),passengers,副本环境数据汇总.xlsx,AirTravel_CY2023,2023,2023,50
airtravel-cy2023-cy23-enplanements,Commercial enplanements (CY 2023),passengers,副本环境数据汇总.xlsx,AirTravel_CY2023,2023,2023,50
airtravel-cy2023-enplanement-growth,Commercial enplanement growth rate (2023 vs 2022),share,副本环境数据汇总.xlsx,AirTravel_CY2023,2023,2023,50
barrels,All petroleum products total consumption,thousand barrels,石油消费总量和人均.xlsx,Barrels,1960,2023,3328
barrels-per-capita,All petroleum products total consumption per capita,barrels,石油消费总量和人均.xlsx,Barrels per capita,1960,2023,3328
biodiesel,Biodiesel production,thousand barrels,物理单元的一次能源生产——生物燃料.xlsx,Biodiesel,1960,2023,3328
biomass,Biomass total consumption,billion Btu,按来源划分的可再生能源消费.xlsx,Biomass,1960,2023,3328
btu,All petroleum products total consumption,billion Btu,石油消费总量和人均.xlsx,Btu,1960,2023,3328
btu,Natural gas total consumption (including supplemental gaseous fuels),billion Btu,天然气消费量，总量和人均.xlsx,Btu,1960,2023,3328
btu-biofuels,Biofuels production (total biomass inputs as feedstock),"including liquids and losses & co-products, billion Btu",Btu 的一次能源生产 – 可再生能源和总能源.xlsx,Biofuels,1960,2023,3328
btu-coal,Coal production,billion Btu,Btu 的一次能源生产——化石燃料和核能.xlsx,Coal,1960,2023,3328
btu-crude-oil,Crude oil production (including lease condensate),billion Btu,Btu 的一次能源生产——化石燃料和核能.xlsx,Crude oil,1960,2023,3456
btu-natural-gas,Natural gas marketed production,billion Btu,Btu 的一次能源生产——化石燃料和核能.xlsx,Natural gas,1960,2023,3392
btu-nuclear-electric-power,Nuclear energy consumed for electricity generation,"total, billion Btu",Btu 的一次能源生产——化石燃料和核能.xlsx,Nuclear electric power,1960,2023,3328
btu-other-renewables,Noncombustible renewable energy production,billion Btu,Btu 的一次能源生产 – 可再生能源和总能源.xlsx,Other renewables,1960,2023,3328
btu-per-capita,All petroleum products total consumption per capita,million Btu,石油消费总量和人均.xlsx,Btu per capita,1960,2023,3328
btu-per-capita,Natural gas total consumption (including supplemental gaseous fuels) per capita,million Btu,天然气消费量，总量和人均.xlsx,Btu per capita,1960,2023,3328
btu-total-primary-energy,Total energy production,billion Btu,Btu 的一次能源生产 – 可再生能源和总能源.xlsx,Total primary energy,1960,2023,3456
btu-total-renewables,Renewable energy production,billion Btu,Btu 的一次能源生产 – 可再生能源和总能源.xlsx,Total renewables,1960,2023,3328
btu-wood-and-waste,Wood and Waste energy production,billion Btu,Btu 的一次能源生产 – 可再生能源和总能源.xlsx,Wood and Waste,1960,2023,3328
cdd,Cooling degree days,days,能源系列指标.xlsx,CDD,1960,2023,3328
city-water-use-cbsa-in-wtotl,City water withdrawals – industrial,million gallons per day (MGD),副本环境数据汇总.xlsx,City_Water_Use_CBSA,2023,2023,50
city-water-use-cbsa-ir-irtot,City water withdrawals – irrigation,million gallons per day (MGD),副本环境数据汇总.xlsx,City_Water_Use_CBSA,2023,2023,50
city-water-use-cbsa-ps-wtotl,City water withdrawals – public supply,million gallons per day (MGD),副本环境数据汇总.xlsx,City_Water_Use_CBSA,2023,2023,50
city-water-use-cbsa-pt-wtotl,City water withdrawals – thermoelectric power,million gallons per day (MGD),副本环境数据汇总.xlsx,City_Water_Use_CBSA,2023,2023,50
city-water-use-cbsa-to-wtotl,City water withdrawals – total withdrawals,million gallons per day (MGD),副本环境数据汇总.xlsx,City_Water_Use_CBSA,2023,2023,50
co2-co2-co2-per-billion-btu,Carbon intensity of energy supply (CO2 emissions divided by total energy consumption less interstate flow of electricity),metric tons CO2 per billion Btu,CO2 总排放量、人均 CO2 排放量和碳强度.xlsx,CO2 per billion Btu,1960,2023,3328
co2-co2-co2-per-million-dollars,Carbon intensity of economy (CO2 emissions divided by real GDP),metric tons CO2 per million chained (2017) dollars,CO2 总排放量、人均 CO2 排放量和碳强度.xlsx,CO2 per million dollars,1997,2023,1404
co2-co2-per-capita,Per capita energy-related CO2 emissions,metric tons CO2,CO2 总排放量、人均 CO2 排放量和碳强度.xlsx,Per capita,1960,2023,3328
co2-co2-total-co2,Total energy CO2 emissions,million metric tons CO2,CO2 总排放量、人均 CO2 排放量和碳强度.xlsx,Total CO2,1960,2023,3328
coal,Coal total CO2 emissions,million metric tons CO2,按来源划分的二氧化碳排放总量.xlsx,Coal,1960,2023,3328
coal,Coal total consumption,billion Btu,按来源划分的一次能源消耗.xlsx,Coal,1960,2023,3328
coal,Coal production,thousand short tons,以物理单位计算的一次能源生产——化石燃料和核能.xlsx,Coal,1960,2023,3328
coal-expenditures,Coal total expenditures,million dollars,向最终客户销售煤炭和电力的价格和支出.xlsx,Coal expenditures,1970,2023,2808
coal-prices,Coal average price,"all sectors, dollars per million Btu",向最终客户销售煤炭和电力的价格和支出.xlsx,Coal prices,1970,2023,2808
commercial,Total energy CO2 emissions for the commercial sector,million metric tons of CO2,按部门划分的二氧化碳排放总量.xlsx,Commercial,1960,2023,3328
commercial-sector,Total energy consumption per capita in the commercial sector,million Btu,按最终用途部门分列的人均能源消耗总量.xlsx,Commercial sector,1960,2023,3328
commercial-sector,Total energy average price in the commercial sector,dollars per million Btu,按最终用途部门划分的能源总价格.xlsx,Commercial sector,1970,2023,2808
commercial-sector,Total energy expenditures in the commercial sector,million dollars,按最终用途部门分列的能源总支出.xlsx,Commercial sector,1970,2023,2808
