,airtravel-cy2023-airport-count,airtravel-cy2023-cy22-enplanements,airtravel-cy2023-cy23-enplanements,airtravel-cy2023-enplanement-growth,barrels,barrels-per-capita,biodiesel,biomass,btu,btu-biofuels,btu-coal,btu-crude-oil,btu-natural-gas,btu-nuclear-electric-power,btu-other-renewables,btu-per-capita,btu-total-primary-energy,btu-total-renewables,btu-wood-and-waste,cdd,city-water-use-cbsa-in-wtotl,city-water-use-cbsa-ir-irtot,city-water-use-cbsa-ps-wtotl,city-water-use-cbsa-pt-wtotl,city-water-use-cbsa-to-wtotl,co2-co2-co2-per-billion-btu,co2-co2-co2-per-million-dollars,co2-co2-per-capita,co2-co2-total-co2,coal,coal-expenditures,coal-prices,commercial,commercial-sector,crude-oil,cubic-feet,cubic-feet-per-capita,current-dollar-gdp,electric-power,electricity-expenditures,electricity-prices,expenditures,expenditures-per-capita,fuel-ethanol,gdp-energy-consumption-per-real-gdp,gdp-expenditures,gdp-expenditures-per-capita,gdp-expenditures-per-gdp,gdp-prices,gdp-real-gdp,gdp-total-consumption,geothermal,hdd,hydropower,industrial,industrial-sector,natural-gas,natural-gas-expenditures,natural-gas-prices,nuclear,nuclear-electric-power,petroleum,petroleum-expenditures,petroleum-prices,prices,real-gdp,renewable-diesel,residential,residential-per-capita,residential-sector,solar-energy,sports-factors-avg-driving-time-to-nfl-states,sports-factors-avg-flight-time-to-nfl-states,sports-factors-nfl-stadium-capacity,sports-factors-peak-public-transport-capacity,sports-factors-stadium-hotel-distance-avg,state-waste-data-raw-data-table-landfilled-disposed-msw-tons,state-waste-data-raw-data-table-recycled-msw-tons,total,total-consumption,total-per-capita,total-population,total-renewable-energy,transportation,transportation-sector,wind-energy
能源消费类,,,,,0.001102413614996644,0.0016937705289146448,0.059575591473838,0.0014050947176432673,0.001200161961399105,0.05673416508754485,0.08628625848789774,0.1045842424576878,0.08345057109434699,0.04072028115394242,0.03336781789108892,0.0017717876622322154,0.053641491765837074,0.021216296335271483,0.026048230648871084,,,,,,,,,,,0.029445919885653028,,,,0.0021432386917296926,0.10458423698525607,0.0012669092748177175,0.0015886088516744994,,,,,,,0.07323318686785857,0.002458367441513931,,,,,,0.001236715160443111,0.00107309836037598,,0.0013440733480309557,,,0.001284380480639744,,,0.04072028115394242,0.04072022790329245,,,,,,0.09270723409308836,,,0.002512198746561528,0.0011538833487040575,,,,,,,,0.0015191690554794018,0.001236703172278952,0.0018210729256172076,,0.0220496205087469,,0.0019790709035510503,0.0011236279592321907
能源价格类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04746721674363849,0.15767452793384865,,,,,,,,0.03999913456091582,0.03880423571854984,0.03434813317456739,0.16783136467144533,,,0.04027844070930917,0.039511735580866694,0.09229058848418535,0.06591575269644204,,,,,,,0.023527323816736476,,0.030815115236581127,0.023089762524846277,,,,0.04547613696946357,0.08029376369274294,0.07267676748586083,,,,,,,,,,,,,,,,,,,,,
碳排放类,,,,,,,,,,,,,,,,,,,,,,,,,,0.08696856370890545,0.2398856524035316,0.03030619334436937,0.022622619602215618,,,,0.050083758553183824,,,,,,0.02381004499218553,,,,,,,,,,,,,,,,0.020376899484667112,,,,,,,0.49461272091699837,,,,,,,,,,,,,,,,,,,,,,0.03133354699394313,,
经济人口类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25503662436186264,,,,,,,,,,,,0.2595700837204049,,,,,,,,,,,,,,,,0.2595700837204049,,,,,,,,,,,,,,,,0.2258232081973275,,,,
气候环境类,,,,,,,,,,,,,,,,,,,,0.28428255793804297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11667649143183609,,,,,,,,,,,,,,,0.48066707642766227,0.11837387420245869,,,,,,,,,,,,,,,,,
城市水资源类,,,,,,,,,,,,,,,,,,,,,0.1833657167375269,0.1522657193987287,0.1588562523645059,0.3251462814127879,0.1803660300864506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
航空出行类,0.11046203801202997,0.1568159419564696,0.15989083752531588,0.5728311825061845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
废弃物管理类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504679595252355,0.49532040474764505,,,,,,,,
比赛因素类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16310972980015292,0.34138630498022765,0.49550396521961937,,,,,,,,,,
比赛间交通时间类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48682802087056576,0.5131719791294342,,,,,,,,,,,,,
