region,barrels,barrels-per-capita,biodiesel,biomass,btu,btu-biofuels,btu-coal,btu-crude-oil,btu-natural-gas,btu-nuclear-electric-power,btu-other-renewables,btu-per-capita,btu-total-primary-energy,btu-total-renewables,btu-wood-and-waste,cdd,co2-co2-co2-per-billion-btu,co2-co2-co2-per-million-dollars,co2-co2-per-capita,co2-co2-total-co2,coal,coal-expenditures,coal-prices,commercial,commercial-sector,crude-oil,cubic-feet,cubic-feet-per-capita,current-dollar-gdp,electric-power,electricity-expenditures,electricity-prices,expenditures,expenditures-per-capita,fuel-ethanol,gdp-energy-consumption-per-real-gdp,gdp-expenditures,gdp-expenditures-per-capita,gdp-expenditures-per-gdp,gdp-prices,gdp-real-gdp,gdp-total-consumption,geothermal,hdd,hydropower,industrial,industrial-sector,natural-gas,natural-gas-expenditures,natural-gas-prices,nuclear,nuclear-electric-power,petroleum,petroleum-expenditures,petroleum-prices,prices,real-gdp,renewable-diesel,residential,residential-per-capita,residential-sector,solar-energy,total,total-consumption,total-per-capita,total-population,total-renewable-energy,transportation,transportation-sector,wind-energy
AK,47666.0,64.7,0.0,3404.0,359239.0,0.0,15496.0,884440.0,410727.0,0.0,6683.0,487.75,1320750.0,10087.0,3404.0,19.0,57.8,798.3,58.6,43.2,6474.933333333333,101.4,5.51,2.3,14545.3625,155465.0,448985.0,609.6,68056.0,2.9,1275.8,62.84,1330.0,1805.9,0.0,13.82,8952.9,12155.9,13.16,23.84,54059.7,746978.0,186.0,10902.0,6051.0,21.5,109901.5375,271945.3,1009.3,8.26,0.0,0.0,135204.75,6952.9,27.1,42.16,54059.7,0.0,1026.35,2784.0,12458.7575,67.0,3017.6279999999997,373996.1,8180.0,737.0,10087.0,14.7,52354.49,380.0
AL,113026.0,22.1,391.0,189040.0,686053.5,8690.0,303503.0,20429.0,92525.0,476392.0,33149.0,134.05,1103247.0,210398.0,168559.0,2061.0,44.6,411.8,19.7,101.0,78996.83333333333,771.0,3.43,2.1,60397.560000000005,3591.0,753153.0,147.2,304935.6,43.5,9714.9,33.68,9701.9,1895.8,0.0,7.58,27399.7,5353.9,8.99,21.11,245354.7,1860171.0,141.0,2144.0,28762.0,17.4,190895.66,287726.1666666667,3323.1,4.56,476392.0,45579.0,282896.5,15214.7,26.0,25.62,245354.7,1195.0,15705.9,6137.0,81338.7275,4246.0,22500.561999999998,930267.25,16586.0,5118.0,222189.0,36.2,139377.9925,0.0
AR,64323.0,21.0,1466.0,71311.0,371430.5,7964.0,0.0,25316.0,399132.0,156492.0,15966.0,121.0,671299.0,90359.0,66429.0,1936.0,52.5,422.8,19.7,60.4,60093.1,404.2,2.24,3.4,42966.317500000005,4450.0,390201.0,127.1,178606.4,27.4,4720.4,28.57,4758.0,1550.1,0.0,7.35,15814.2,5152.1,8.85,21.76,142860.6,1049897.0,808.0,2867.0,11017.0,8.4,96743.49,263040.63333333336,2660.8,6.94,156492.0,14972.0,163743.6,8807.6,26.34,25.92,142860.6,0.0,9187.9,5986.0,53089.1775,4141.0,12921.152,525119.5,15849.0,3069.0,87277.0,19.4,73736.56,0.0
AZ,118170.0,15.8,0.0,36572.0,581856.0,0.0,0.0,40.0,30.0,329474.0,71873.0,77.85,411139.0,81595.0,9722.0,3175.0,48.5,196.4,11.1,83.0,45966.06666666667,428.3,3.11,3.4,87388.2925,7.0,523029.0,70.0,522767.2,34.5,10471.0,35.72,12139.5,1624.4,0.0,3.61,31328.0,4192.1,5.99,30.28,422399.6,1526567.0,345.0,2062.0,20258.0,4.6,54529.85,179069.46666666667,3266.8,6.29,329474.0,31523.0,299876.7,19311.1,30.82,33.92,422399.6,0.0,19497.4,5218.0,103899.845,45356.0,23488.656,763385.65,11497.0,7473.0,108445.0,37.7,143735.86500000002,5914.0
CA,648296.0,16.5,1134.0,612607.0,2823477.0,67163.0,0.0,673157.0,148926.0,185192.0,452572.0,72.05,1641594.0,634319.0,114583.0,866.0,50.3,99.8,8.3,324.3,9582.933333333332,146.6,5.1,20.5,298063.9875,118326.0,2085259.0,53.2,3870378.9,34.7,59189.0,73.04,61287.5,1563.5,1506.0,2.1,195099.6,4977.2,5.04,35.72,3248656.6,6816746.0,40578.0,3085.0,110485.0,60.9,369311.2825,761782.8333333334,27338.0,14.06,185192.0,17718.0,1498188.55,113651.0,34.52,38.64,3248656.6,9547.0,41423.95,2113.0,300546.91,253676.0,87052.784,3408459.95,6109.0,39199.0,1065179.0,181.3,785121.62,47833.0
CO,100469.0,17.0,0.0,35513.0,532001.5,19666.0,256169.0,948868.0,2245754.0,0.0,79549.0,90.15,3559311.0,108520.0,9305.0,298.0,60.5,188.2,13.9,82.2,72405.53333333334,436.3,2.13,4.6,61890.560000000005,166790.0,505461.0,85.7,529626.5,27.0,6510.1,34.53,8376.9,1419.5,3462.0,3.13,24276.9,4113.8,4.58,23.85,437056.0,1368260.0,759.0,7282.0,5447.0,11.8,90166.095,783752.4666666667,3595.7,8.09,0.0,0.0,257104.6,14742.2,28.11,29.83,437056.0,0.0,10003.65,3389.0,81263.09,18440.0,16006.230000000001,684245.95,9416.0,5901.0,115061.0,30.5,114895.35250000001,54903.0
CT,58778.0,16.1,695.0,40711.0,307730.0,3776.0,0.0,0.0,0.0,142873.0,8271.0,84.45,177908.0,35034.0,22987.0,631.0,45.8,126.2,9.9,36.2,0.0,0.0,0.0,4.2,44528.780000000006,0.0,296042.0,81.3,345911.9,9.2,6468.0,71.04,5039.7,1383.4,0.0,2.4,17229.2,4729.4,4.98,32.32,286628.4,688978.0,21.0,5057.0,1588.0,1.5,16745.1375,101646.7,2385.4,7.98,142873.0,13669.0,146442.05,8977.3,28.91,29.78,286628.4,0.0,6279.9,3446.0,59002.625,6629.0,8803.784,344583.55,7325.0,3643.0,48981.0,14.4,56353.085,34.0
DC,3420.0,5.0,0.0,1984.0,22249.0,0.0,0.0,0.0,0.0,0.0,811.0,32.400000000000006,1825.0,1825.0,1014.0,1489.0,53.0,16.8,3.6,2.5,0.0,0.0,0.0,0.9,20529.8975,0.0,25398.0,37.0,176501.7,0.0,1630.1,48.36,372.6,542.1,0.0,0.93,2545.6,3703.7,1.44,32.28,146024.3,135231.0,22.0,3272.0,0.0,0.0,1096.7075,8745.800000000001,384.7,14.87,0.0,0.0,8646.55,529.8,29.01,30.61,146024.3,0.0,1186.3,3451.0,8425.6175,790.0,2492.576,67713.9,14374.0,687.0,2795.0,1.0,4470.6725,0.0
DE,21519.0,20.8,0.0,6383.0,99916.5,0.0,0.0,0.0,0.0,0.0,1658.0,96.4,3315.0,3315.0,1658.0,1077.0,59.8,156.0,11.7,12.2,112.66666666666667,1.2,3.55,0.8,12600.12,0.0,81691.0,78.8,98068.7,1.5,1398.0,38.09,1743.0,1681.8,0.0,3.44,4644.2,4480.9,4.74,26.7,78014.4,268494.0,430.0,3843.0,0.0,3.6,19884.282499999998,28130.466666666664,682.5,9.57,0.0,0.0,55364.35,2621.8,28.02,29.1,78014.4,0.0,2466.45,4759.0,15132.92,1213.0,3155.46,134376.55,10692.0,1036.0,8041.0,5.4,20758.295,14.0
FL,362207.0,15.8,37.0,187267.0,1797984.5,202.0,0.0,5814.0,727.0,312935.0,99040.0,78.5,531607.0,212130.0,112889.0,4031.0,54.1,177.5,10.0,229.5,43133.13333333333,446.0,3.45,6.5,231412.82749999998,1022.0,1634682.0,71.4,1600810.6,89.5,33953.4,39.66,30149.4,1316.3,0.0,3.33,85758.5,3744.1,5.36,28.12,1292787.6,4301743.0,10056.0,429.0,765.0,11.6,112510.05750000001,558152.4333333333,8064.6,4.87,312935.0,29940.0,917761.4,49435.2,25.72,26.69,1292787.6,0.0,67903.2,5929.0,298576.9625,88219.0,67437.124,2150965.4,10956.0,22905.0,286306.0,120.4,454451.45249999996,0.0
GA,194450.0,17.6,3.0,253485.0,907980.0,18.0,0.0,0.0,0.0,390663.0,37977.0,82.05000000000001,660624.0,269961.0,231967.0,1738.0,47.9,185.4,11.4,125.7,59179.333333333336,806.0,4.54,4.4,136848.3175,0.0,766256.0,69.3,831827.7,39.9,15710.9,32.42,15520.9,1402.8,0.0,4.19,46199.0,4175.5,5.55,22.97,678201.2,2838817.0,315.0,2292.0,9799.0,12.0,179468.635,262467.43333333335,5076.1,6.51,390663.0,37377.0,490306.7,26205.3,25.49,25.53,678201.2,0.0,29209.55,5279.0,168645.5425,27863.0,37700.474,1419536.8,12837.0,11064.0,291462.0,62.4,236380.515,0.0
HI,45279.0,31.4,143.0,8914.0,129788.5,776.0,0.0,0.0,0.0,0.0,12132.0,90.05,17524.0,17524.0,4616.0,4755.0,66.1,203.6,12.5,18.0,0.0,0.0,0.0,0.4,9271.8825,0.0,2983.0,2.1,110265.4,5.3,3431.0,113.17,2126.5,1475.3,0.0,3.08,8580.3,5952.8,7.78,40.33,88614.3,272874.0,665.0,0.0,318.0,0.9,12111.7075,50.666666666666664,126.2,46.08,0.0,0.0,125847.0,6455.8,26.02,42.17,88614.3,0.0,1346.5,1868.0,7690.679999999999,8985.0,3516.726,136531.65,6194.0,1441.0,21046.0,11.4,41625.9525,2164.0
