indicator_id,min_value,max_value,orientation,weight,entropy
airtravel-cy2023-enplanement-growth,-0.005754329673512815,23.228235294117646,benefit,0.0787230830406847,0.30801003242974495
btu-crude-oil,0.0,11443509.0,benefit,0.0628922105778795,0.44716623032006253
crude-oil,0.0,2011515.0,benefit,0.06289220728700774,0.44716625924741327
renewable-diesel,0.0,22405.0,benefit,0.05574991749865362,0.5099482627985987
btu-coal,0.0,4133004.0,benefit,0.05188863457125225,0.5438896297332646
btu-natural-gas,0.0,14311730.0,benefit,0.05018338104072747,0.558879112991651
fuel-ethanol,0.0,99690.0,benefit,0.04403911049645889,0.61288834904347
biodiesel,0.0,8333.0,benefit,0.03582605329660653,0.6850825894855178
btu-biofuels,0.0,611541.0,benefit,0.03411734859665527,0.7001024091398793
btu-total-primary-energy,1825.0,27104730.0,benefit,0.032257555407675324,0.7164503236119854
state-waste-data-raw-data-table-recycling-rate-if-reported-calculatable,0.083,0.459,cost,0.02758020808344718,0.7575650424236802
natural-gas,50.666666666666664,5603928.033333334,benefit,0.026542764392946866,0.7666843578520948
nuclear,0.0,1019691.0,benefit,0.02448732655074991,0.7847520237872496
btu-nuclear-electric-power,0.0,1019691.0,benefit,0.02448732655074991,0.7847520237872496
nuclear-electric-power,0.0,97559.0,benefit,0.024487294528229002,0.7847523052709308
airtravel-cy2023-cy23-enplanements,133861.0,114014022.0,benefit,0.021973488986546528,0.806849105193868
airtravel-cy2023-cy22-enplanements,5525.0,98643016.0,benefit,0.021550912027400095,0.8105636321783428
btu-other-renewables,811.0,524902.0,benefit,0.020065889277533673,0.8236172475199838
gdp-real-gdp,35236.6,3248656.6,benefit,0.018871717374521757,0.8341142319433639
real-gdp,35236.6,3248656.6,benefit,0.018871717374521757,0.8341142319433639
state-waste-data-raw-data-table-total-msw-generated-tons,514425.0,77600000.0,cost,0.018690530108228354,0.8357069003918508
current-dollar-gdp,43533.8,3870378.9,benefit,0.01854211789789083,0.8370114702416548
coal,0.0,273164.06666666665,benefit,0.01770743804791721,0.8443484552783852
petroleum,8646.55,3376333.8,benefit,0.01653057337102246,0.854693306091432
total-population,585.0,39199.0,benefit,0.016418193116192064,0.8556811486134968
btu-wood-and-waste,716.0,231967.0,benefit,0.015664222149075303,0.8623086881474147
airtravel-cy2023-airport-count,5.0,270.0,benefit,0.015180584536649978,0.8665599491856161
state-waste-data-raw-data-table-landfilled-disposed-msw-tons,324234.0,46300000.0,cost,0.01494856970801215,0.8685994009898846
state-waste-data-raw-data-table-recycled-msw-tons,111574.0,31300000.0,cost,0.014671351225263182,0.8710362009915842
total-renewable-energy,2795.0,1065179.0,benefit,0.013259639727844136,0.8834453973236523
btu-total-renewables,1825.0,782941.0,benefit,0.012758516440375118,0.8878503605701397
cdd,19.0,4755.0,benefit,0.008902300653692708,0.921747186432399
co2-co2-co2-per-million-dollars,16.8,1351.6,benefit,0.008017277376854235,0.9295266991875316
expenditures-per-capita,542.1,1922.1,cost,0.004604564920689213,0.9595250515214686
coal-prices,0.0,6.03,cost,0.004325905361204249,0.9619745188451948
residential-per-capita,1868.0,6919.0,benefit,0.003706874686002908,0.9674159090996414
hdd,0.0,10902.0,benefit,0.003653721190206048,0.9678831378261091
co2-co2-co2-per-billion-btu,38.4,74.5,cost,0.0029065977532829264,0.9744504863459863
