,weight
barrels,0.0008651988174809343
barrels-per-capita,0.0013293089261288455
biodiesel,0.04675625427036185
biomass,0.001102749704481256
btu,0.0009419139020623086
btu-biofuels,0.04452623940485472
btu-coal,0.06771938208401991
btu-crude-oil,0.08208004842339167
btu-natural-gas,0.06549387130814549
btu-nuclear-electric-power,0.031958185768586875
btu-other-renewables,0.02618780844917013
btu-per-capita,0.0013905385141631153
btu-total-primary-energy,0.04209904033510762
btu-total-renewables,0.016651023037898394
btu-wood-and-waste,0.02044323296473665
cdd,0.011618311107539471
co2-co2-co2-per-billion-btu,0.003793374126059029
co2-co2-co2-per-million-dollars,0.010463275328843525
co2-co2-per-capita,0.001321888332854014
co2-co2-total-co2,0.0009867480409353143
coal,0.023109815334404125
coal-expenditures,0.0016996127727677373
coal-prices,0.005645699495376621
commercial,0.0021845414679647146
commercial-sector,0.0016820615751099554
crude-oil,0.08208004412850507
cubic-feet,0.0009942986838304372
cubic-feet-per-capita,0.001246775693996401
current-dollar-gdp,0.024199148367451632
electric-power,0.0010385408791614812
electricity-expenditures,0.0014322103688225829
electricity-prices,0.0013894257803429395
expenditures,0.00122987042150614
expenditures-per-capita,0.006009375536113714
fuel-ethanol,0.057475040054385036
gdp-energy-consumption-per-real-gdp,0.0019293816534894283
gdp-expenditures,0.0014422112142457668
gdp-expenditures-per-capita,0.0014147585444108117
gdp-expenditures-per-gdp,0.0033045599416779464
gdp-prices,0.002360181676851458
gdp-real-gdp,0.024629305627843847
gdp-total-consumption,0.0009706016687569493
geothermal,0.0008421915511637198
hdd,0.00476843808576773
hydropower,0.0010548587712494492
industrial,0.0008887947550009575
industrial-sector,0.0008424201546075896
natural-gas,0.0010080104762208361
natural-gas-expenditures,0.0011033670613818341
natural-gas-prices,0.0008267528201484863
nuclear,0.031958185768586875
nuclear-electric-power,0.03195814397628791
petroleum,0.02157390001548424
petroleum-expenditures,0.0016283201028380065
petroleum-prices,0.002875001226274124
prices,0.002602266801728888
real-gdp,0.024629305627843847
renewable-diesel,0.07275870709335569
residential,0.01964432736779137
residential-per-capita,0.0048378082266610336
residential-sector,0.001971629663525823
solar-energy,0.0009055934136052286
total,0.0011922777916330502
total-consumption,0.0009705922601780701
total-per-capita,0.0014292186892079974
total-population,0.02142723357343114
total-renewable-energy,0.017305034453995973
transportation,0.0013666991999812395
transportation-sector,0.0015532190297454789
wind-energy,0.0008818483084673863
