region,score
TX,100.0
IL,48.68203705319851
CA,46.13037469090958
PA,44.41175626203518
IA,43.64970373894096
LA,37.94281657725645
WY,32.06581022329901
ND,29.538598052052045
NM,28.661830109983384
FL,27.791632021379037
AL,27.553867316678105
NY,26.783937360605968
GA,26.724893193720312
IN,26.099116953033775
OH,25.905570374668148
MN,25.421773868623486
SC,25.247278419480327
WV,25.096640844375674
NC,24.822193302876617
NE,24.015024586304072
MI,23.836442838069203
MO,23.69262651614798
OK,23.607512254006163
WA,23.51502074838618
TN,23.170039744440558
VA,22.357128008467214
KS,22.28809791688076
CO,21.09550952670527
AZ,20.475817752999664
WI,19.94737919564591
NJ,19.613641425838594
AR,19.356792706454122
KY,18.93390369225834
SD,18.514691556540942
MS,16.885910434541252
MT,16.69504380102678
MD,15.829561781736212
CT,15.760009369245948
OR,14.648888074793224
UT,14.429831953161692
MA,14.41510795787549
AK,12.88699741241937
NH,12.858651340537582
ID,12.456662809150785
NV,12.41433171352006
HI,12.03511445790584
DC,12.003033697734189
ME,11.980982532719835
VT,11.645765004330737
RI,11.39431781427117
DE,10.767827953513482
