region,score
TX,100.0
NY,86.87106393440587
FL,81.55541960468989
CA,79.49078299387692
DE,64.73990842798393
PA,57.75948168317142
NC,55.218898718603704
NJ,52.69045982357182
CO,51.04599254859021
MA,49.82155857253546
OH,48.79947117711309
IL,48.41291344018551
MN,48.27093086744227
MI,47.959815847148334
MD,46.651690299404855
VA,46.132903734341184
NV,45.69555267901625
WI,45.467550383124156
IN,45.34238568085078
AZ,43.39813442824998
WA,43.24819944140891
GA,41.54248535766867
SC,41.092257680507686
WY,39.61058484295496
AR,36.608975110135674
KY,36.41132190723243
OR,36.38861837096484
SD,36.02454477877227
MT,34.82060302187865
LA,34.307618723847675
DC,34.10557762942041
CT,33.485531873513985
VT,32.10811153009519
RI,31.808070612749184
TN,30.34201417261831
MO,29.920168473071023
NM,28.927102110601734
NE,27.721999090653338
MS,27.008653781725013
WV,26.783966667577463
UT,26.179740258558184
IA,23.866527041155152
NH,22.013078321481867
AL,21.380253511645666
OK,20.39194458752925
AK,19.447685894093595
ND,18.750918292366375
KS,17.276630251694822
HI,16.599884165564013
ID,13.248802414212314
ME,12.292992216626482
