region,score
IA,100.0
TX,66.16123487640031
CA,53.28315285345604
LA,51.20392198514436
IL,44.05434949840764
NE,34.31269536763481
MN,32.68888265444188
IN,31.028454850535713
ND,26.32722895165307
WA,26.233547041947986
MO,25.967855982600007
SD,24.45602046046296
KS,24.442216322381128
OK,16.748990331609622
WI,15.381795287629238
OH,15.02548974219849
MI,12.788082441162398
PA,12.294142651129768
WY,11.806571261699226
MT,11.583208900588398
NY,11.51711771251577
AL,11.243813634346846
NM,10.857348764345167
OR,10.436666179772443
TN,9.965655029044196
FL,9.896072323840132
AR,9.484294531924638
GA,8.977227917238245
KY,8.766401727466063
CO,8.70130936306553
NC,7.686178535240075
MS,6.622787035940021
VA,6.574044570974119
AZ,6.220692445758051
CT,5.827992518775989
ID,5.6690040033187845
SC,5.616042732498099
NV,5.459934628486084
ME,4.90759518539909
MA,4.5909440198614035
NJ,4.066316881190582
NH,3.9512312560541627
UT,3.803610460135995
MD,3.7429267641593227
HI,3.694993737812263
WV,3.3263951041334705
VT,3.1530836886539015
AK,2.909372848648464
RI,2.86372123957444
DE,2.684781796500767
DC,2.607618064693631
