region,score
VT,100.0
AK,99.6950510982472
RI,99.51122992513932
ME,99.45321138871269
SD,98.70226161233686
DC,98.01663034809545
ND,97.6062718740616
OK,97.34639740085774
HI,97.185263184501
MT,96.99737467122014
NH,96.59232730275606
NM,96.4890477213614
WY,96.28631943319374
NV,95.77340610623325
MA,94.72252109392308
DE,94.27079865266039
MS,94.09149912515382
UT,93.8092734328721
KS,93.25733444973358
MN,92.17566420645025
OR,91.58515376131452
AZ,90.97797833113816
CO,90.53199416631529
KY,89.66534578565766
WV,89.32225365917786
IA,88.38101645454887
WA,87.84394927963444
AR,86.19931645249129
GA,85.88564755293547
NE,85.39242909878786
ID,84.09818042220822
TN,83.49463752700314
MO,82.80960062789947
VA,82.22832479526156
OH,79.20590925796755
NJ,77.57468083086124
WI,75.53510881987694
MD,75.32963345088206
PA,74.35069350055338
SC,68.68579757552594
AL,67.7921357532154
NY,66.99221835467938
NC,65.76439815052038
IN,63.172809091743886
MI,60.41287696418948
LA,59.40050050982807
IL,57.29261812137359
TX,49.33118849622522
FL,45.144147978467316
CA,37.86249049302818
CT,0.0
