region,score
RI,100.0
WY,99.9348766648823
SD,99.81238982898547
VT,99.80216804061375
DC,99.65082300234648
DE,99.1504948720826
MT,98.49349426653879
MA,97.41782734507815
CT,95.86498352776988
NV,95.52343817856996
MD,95.43335060231031
SC,95.35314713553157
WI,94.81312380836597
OR,93.3128487595161
MN,92.85283018943998
AR,92.55477738656104
CO,92.28189627016418
VA,91.7085785523418
KY,90.67082076583543
IN,90.16367831456037
NJ,87.92740591189758
MI,87.85614484297002
NC,85.0898261847131
OH,83.14109817222632
PA,75.2734577906453
UT,49.29207818945771
NM,49.28085021142376
NE,48.993834740681
AZ,48.8757167138904
WV,48.737588087945795
NH,48.26184246410178
TX,48.1689616679272
MS,46.87913812098996
WA,45.08914875581025
FL,44.85915243076783
ND,0.0
NY,0.0
CA,0.0
GA,0.0
HI,0.0
IA,0.0
ID,0.0
TN,0.0
IL,0.0
KS,0.0
LA,0.0
ME,0.0
MO,0.0
OK,0.0
AL,0.0
AK,0.0
