region,score
NY,100.0
FL,38.55792331179684
NJ,22.744967999406114
CA,22.045714783955244
IL,21.836120661808152
MA,20.28238903301187
MO,18.210679735311082
PA,17.638137608394604
TX,17.56747051096722
MD,17.105699417366438
WI,16.90508847240187
NC,16.231661256076823
CO,15.948493731010647
WA,15.51060207906422
GA,15.495848520036033
AZ,15.466059943353633
LA,15.268100849666924
TN,15.107440192393758
OH,14.398993109050338
MN,14.147093905495433
IN,14.057432837493462
MI,13.793477346873056
NV,13.720600670537946
DC,3.61710971299171
VA,0.8605014619553
UT,0.40256730987467354
OR,0.27439888174913013
KY,0.23593174879364456
CT,0.19825794280079018
NM,0.18648718461105407
HI,0.18602594800487315
ME,0.16172800359126432
IA,0.1433892361295125
OK,0.13866617328222025
SC,0.10005144461275683
KS,0.08957214892032721
AR,0.07789363805182728
AL,0.06770953378735342
MS,0.06007145558899802
NE,0.059462623268839256
VT,0.05656605738202331
DE,0.056344663811056496
WV,0.045736221868896226
MT,0.036197848853075594
AK,0.03592110688936706
SD,0.032065168861694894
ID,0.026954667265210727
RI,0.02689931887246902
ND,0.023910505664416905
WY,0.004999804811000756
NH,0.0
