region,score
WA,100.0
CA,89.31930018593313
NV,82.92458262730422
AZ,64.15934254568717
MA,40.337452916488246
TX,32.451960748986764
CO,31.98350094898903
NY,30.346823633027874
FL,25.777315457112966
LA,22.935948399075205
NJ,22.77138649014403
NC,18.057062250764268
MD,17.879543315282913
PA,16.150771692979895
MN,15.843925649091556
GA,11.952843790055015
WI,6.90433085445967
MI,6.322452572379111
MO,4.447175637505723
TN,3.65085657999528
OH,3.512600072565909
IL,1.1701441046296353
OK,0.0
OR,0.0
AK,0.0
RI,0.0
SC,0.0
UT,0.0
VA,0.0
VT,0.0
WV,0.0
SD,0.0
MS,0.0
NM,0.0
NH,0.0
AR,0.0
CT,0.0
DC,0.0
DE,0.0
HI,0.0
IA,0.0
ID,0.0
IN,0.0
KS,0.0
KY,0.0
ME,0.0
AL,0.0
MT,0.0
ND,0.0
NE,0.0
WY,0.0
