region,score
TX,100.0
FL,92.83076519368458
LA,52.46086296324602
AZ,50.67564883338982
GA,47.31357803865844
NC,45.781515009949864
AL,42.20004715266553
MS,41.431774553420425
CA,41.23698313983859
TN,40.78346394992718
OK,40.04281313142323
MO,39.49107573860412
SC,38.997612832510626
VA,37.3729139852556
AR,36.971535590528646
PA,36.643614692408505
HI,36.55829029599005
OH,36.39301282356574
IL,33.77689873766603
KY,32.66502988206405
WA,32.11011934838102
IN,32.0257178139645
NV,31.820685081435762
NY,31.52996987571713
ND,31.18340441183016
KS,30.873815733940074
NE,30.184237147453945
MD,29.41290346656559
MN,29.12100837653314
SD,28.803215304825475
IA,27.702996225101884
MI,27.268377701855613
WI,26.3262221668949
WV,26.027354542567195
ID,25.826030045930075
NJ,25.569677898578707
OR,25.19153956418123
MT,23.882654546580522
CO,23.271440543306117
DE,23.087720904303733
WY,23.04599404532652
NM,22.626995156584645
UT,21.59369401812075
DC,20.606149486236635
MA,20.388614194201725
CT,20.207662658508006
AK,17.650334023337052
ME,17.527933271944942
NH,16.713735567477286
VT,16.103381526329144
RI,14.018872330891483
