region,score
TX,100.0
PA,55.54442862224447
LA,55.41020266804455
WV,37.99663992496111
OK,37.15698862251966
NM,35.292362014925125
CA,35.11693083718
WY,34.56413384634406
OH,34.137088185603154
ND,31.40312552796492
AK,30.81351810981009
FL,30.04272681015395
AL,29.46292401879638
MS,29.0307486705915
CO,28.88357456647463
IL,28.024875627020613
AR,27.387690663901687
SC,26.973379098656714
GA,26.954440163888492
MI,26.887366723662616
IA,26.543964711342895
NY,26.276849614088654
NC,26.195036300725228
VA,26.106774046094127
IN,25.56355524165397
NJ,25.39240658928709
AZ,25.309876164011214
TN,25.288422915946047
SD,25.176127143293968
KS,25.146177383385915
MN,24.815969678514165
KY,24.737913605922333
WA,24.450980872898427
MT,24.352543663969005
OR,24.31783666452773
WI,24.295483656914286
NH,24.277442988668703
VT,24.19782445686485
NE,24.15219982439339
ME,23.838837626133763
CT,23.611379048498375
ID,23.59470022128421
MD,22.962488787220593
NV,22.953119616202127
MO,22.729323357544978
UT,22.605518033585476
RI,22.007600995911393
MA,21.878990321116365
DE,20.910402734884677
HI,20.87506999198235
DC,19.96849105169472
