region,score
DC,100.0
RI,95.41184097988837
LA,93.88748672880362
VT,91.4903998552343
NJ,89.93583877344031
IA,89.65083104459926
KS,89.44612025217596
AR,89.24731139759525
NE,89.13425303920148
OK,88.3414323709291
CT,87.38063992354961
MA,86.80749272069028
NM,85.2537288427911
ND,84.87539469614914
SD,84.58393042248393
WY,83.80151198131486
KY,82.72193032516762
MN,82.66529895738522
MT,82.64556879303781
WV,82.61903466962264
MS,82.47791590276002
CO,82.39215054993977
UT,82.36887086879301
MO,80.91211632350954
WI,80.78602648305746
SC,80.66483008149874
IL,79.90306306912689
HI,78.21549304173764
DE,78.1922148283628
ID,77.87950633297817
AL,77.82901319776596
MD,77.52797707317278
MI,77.45323484833091
TN,76.48762751550595
GA,74.53396849055845
IN,74.1984948921749
NY,73.95770857948524
OH,72.91891741102556
PA,70.92719362681956
ME,70.84094346040042
AZ,70.68550953934115
NC,70.61573234423643
OR,69.97023774848454
NH,69.84867977940968
VA,69.81862606363185
FL,69.51351634880919
NV,69.42764735353664
WA,68.76929758281187
AK,66.61929637080355
TX,65.17918830863084
CA,31.565475831926797
