region,score
TX,100.0
IL,46.81185584143637
IA,44.15277483541339
PA,42.40548947864444
LA,33.73417786625628
CA,31.893822189564098
WY,30.30459414630678
ND,26.919321719168863
NM,26.42825269463337
AL,23.279467265145524
IN,21.88904893393172
WV,21.722985728730663
MN,20.6479793230259
SC,20.371569852356117
GA,20.108534051545355
NE,19.766776152576572
OH,19.70476046053773
MO,18.464257065799586
NC,18.334488788632406
OK,18.135921429668596
MI,17.926609089910936
WA,17.667182451925047
TN,17.358313696753807
KS,17.24633511949318
VA,15.999878554977368
FL,15.922297132603616
CO,15.553947245450574
NY,14.8787330100187
WI,14.293601386216068
AZ,13.628157303009065
SD,13.468917610343157
AR,13.27531257379865
KY,13.191397730244466
MT,11.727069865994237
NJ,11.42038100990027
MS,10.136885143278999
CT,9.374839658113727
OR,8.87664794052579
MD,8.854843517516073
UT,8.459938497731562
NH,7.911291846175744
AK,7.7676069525640905
ME,6.840499799104624
ID,6.442506869717876
NV,6.0945664497541285
MA,6.078070323982858
HI,5.414221955803007
VT,5.381222629312359
RI,5.11542015739068
DC,5.024286694562224
DE,4.906496359881655
