region,score
DE,100.0
CA,63.332989641693736
FL,58.62835815894651
TX,55.70074229163714
NY,30.92144382982488
GA,30.872390561023465
IL,25.912592964416483
CO,22.285711334768372
AK,22.068207837479154
NC,21.713123663311734
VA,17.746268597638895
WA,17.3383522827956
NV,16.710144315885938
AZ,16.323150011111366
NJ,14.675454243261695
PA,12.984093199050026
MI,12.63525319919264
MA,11.98363558067006
HI,10.271947222330589
MN,10.213779438739573
TN,10.09063252877726
MO,8.599229318877324
UT,8.1840642366843
MD,7.951268766349746
OH,7.448227625005223
OR,6.736127843929586
SC,5.795238322179602
KY,5.672208649944075
LA,5.1453055496046325
IN,5.060508592235815
WI,4.893431748655438
AL,3.5617525448256386
OK,3.393443467300582
MT,3.211412861792726
NM,2.9971817681855013
NE,2.9369779822661766
CT,2.8336147820636532
AR,2.769125215357213
IA,2.6269834743247134
ID,2.487944797717766
ME,2.441465700454499
WY,1.883489614921814
KS,1.850845304750281
MS,1.827974947826463
RI,1.3701655310549965
ND,1.3602144859665648
SD,1.3146230393430371
VT,0.8764321326870524
WV,0.8163299936015712
NH,0.6310076002050236
DC,0.0
