State,Total_VOMS,Peak_Capacity
NY,16653,9461380.0
IL,6776,2419360.0
CA,16742,1881180.0
NJ,4156,1511165.0
MA,3813,1066700.0
DC,2800,986105.0
PA,4760,916720.0
FL,5632,411665.0
TX,6764,375585.0
MD,2424,360995.0
WA,5639,327780.0
VA,2201,239035.0
GA,2006,237235.0
CO,1985,159405.0
MI,3073,127785.0
MN,2186,126745.0
OH,2605,126470.0
IN,1140,117805.0
UT,1162,114930.0
NC,2504,106225.0
AZ,1986,88640.0
OR,1552,80195.0
KY,1697,69770.0
TN,1412,69110.0
MO,1481,66895.0
PR,810,64790.0
CT,974,59560.0
WI,1379,59050.0
NM,500,56370.0
HI,873,56245.0
ME,459,49660.0
NV,1180,49035.0
IA,1075,44690.0
OK,1060,43410.0
SC,791,32945.0
LA,693,30245.0
KS,729,30105.0
AR,658,26940.0
AL,587,24180.0
MS,540,22110.0
NE,531,21945.0
VT,510,21160.0
DE,501,21100.0
WV,428,18225.0
MT,377,15640.0
AK,377,15565.0
SD,359,14520.0
ID,315,13135.0
RI,304,13120.0
ND,302,12310.0
WY,173,7185.0
NH,138,5830.0
VI,30,1260.0
GU,14,595.0
AS,11,440.0
MP,7,280.0
