State_A,State_B,Driving_Distance_m,Driving_Time_s,Flight_Distance_m,Flight_Time_s
Alabama,Alaska,6335707.2,303528.3,4592966.683527447,19452.56477729272
Alabama,Arizona,2759313.5,107706.9,2390942.335962995,10126.344011137391
Alabama,Arkansas,740092.7,30516.1,602173.9127017825,2550.3836302663735
Alabama,California,3901418.2,153991.1,3233605.164722401,13695.268932941935
Alabama,Colorado,2281912.7,89166.5,1837735.1917954313,7783.34904760418
Alabama,Connecticut,1868730.2,79424.0,1597391.8365899331,6765.4242490867755
Alabama,Delaware,1436012.8,62002.8,1235436.8053164473,5232.438234281424
Alabama,Florida,334319.2,15653.9,292196.7345743841,1237.539111138568
Alabama,Georgia,259286.0,10732.8,231578.71482492922,980.8039686702886
Alabama,Hawaii,,,7079455.468279812,29983.57610094979
Alabama,Idaho,3581016.6,136854.4,2876453.9563904917,12182.62852118326
Alabama,Illinois,1029235.0,43425.1,881194.339707765,3732.1172034681817
Alabama,Indiana,911961.8,37694.9,815574.3648397931,3454.1973099097117
Alabama,Iowa,1464747.0,63172.9,1205490.1071753048,5105.60515980129
Alabama,Kansas,1337602.5,57653.7,1117309.6215980693,4732.134867944764
Alabama,Kentucky,785261.9,32360.3,658354.1569455274,2788.3234882398806
Alabama,Louisiana,591585.1,24092.5,498120.4040049353,2109.686416962079
Alabama,Maine,2277456.7,97212.8,1954998.8839408932,8279.995273161428
Alabama,Maryland,1335854.8,56821.5,1145722.0297449257,4852.469773037333
Alabama,Massachusetts,2026556.4,86599.0,1748522.1673898178,7405.50565012158
Alabama,Michigan,1309914.4,53961.2,1166455.9746411287,4940.284127891839
Alabama,Minnesota,1827714.5,75988.4,1510518.5702936465,6397.490415361326
Alabama,Mississippi,399842.8,17149.4,348600.82059563283,1476.4270048756214
Alabama,Missouri,,,866397.147930743,3669.446744177265
Alabama,Montana,3272115.1,132663.5,2687899.8466828596,11384.046409480346
Alabama,Nebraska,1559181.5,67336.9,1319879.021306977,5590.075854947197
Alabama,Nevada,3751620.7,150831.4,3105301.406381045,13151.86477996678
Alabama,New Hampshire,2102515.0,90272.4,1770704.6105661853,7499.45482122149
Alabama,New Jersey,1614856.9,66791.9,1354869.8047472765,5738.27211422376
Alabama,New Mexico,2131114.6,83805.5,1850069.255228452,7835.587433908738
Alabama,New York,1878497.5,78678.7,1594876.242481052,6754.769968155044
Alabama,North Carolina,910640.6,38768.8,798106.0500195422,3380.213858906296
Alabama,North Dakota,2516053.1,101692.5,2012829.4312336883,8524.924649930914
Alabama,Ohio,1061450.7,44533.5,902114.5514205135,3820.720453075116
Alabama,Oklahoma,1271953.5,50575.6,1088970.7934952714,4612.111595979973
Alabama,Oregon,4340906.3,168237.3,3436338.83128231,14553.905638372136
Alabama,Pennsylvania,1419846.1,58508.7,1217486.2589139848,5156.412390694523
Alabama,Rhode Island,1973800.9,84105.4,1680905.4480961573,7119.1289566425485
Alabama,South Carolina,591430.1,24423.0,530007.5694124819,2244.7379410411
Alabama,South Dakota,2183854.3,90149.7,1798397.4211333513,7616.742018917724
Alabama,Tennessee,450965.9,18645.2,425185.41083133646,1800.7852694033072
Alabama,Texas,1279491.3,52299.7,1100774.0464633743,4662.10184384488
Alabama,Utah,3104896.7,120001.6,2459035.457415604,10414.738407877852
Alabama,Vermont,2154311.6,92458.4,1778002.6487840298,7530.364159555891
Alabama,Virginia,1112927.4,46900.6,1001343.4533220568,4240.984037599299
Alabama,Washington,4437201.8,171711.1,3479721.3026442863,14737.643164140507
Alabama,West Virginia,1047567.1,43172.1,793993.6108133702,3362.796469327215
Alabama,Wisconsin,1418894.1,59873.0,1224087.9486765508,5184.37248851245
Alabama,Wyoming,2270300.1,94079.6,1904911.8138406435,8067.861799795666
Alaska,Arizona,5274949.1,255217.9,3240959.6044103284,13726.417148090804
Alaska,Arkansas,5772135.1,276751.8,4060796.01801457,17198.66548806171
Alaska,California,4268300.6,226511.0,2398406.232009418,10157.955806157534
Alaska,Colorado,4542042.6,226396.4,2959847.69348319,12535.825525340571
Alaska,Connecticut,6603034.2,315771.8,4595194.098774195,19461.998535984825
Alaska,Delaware,6421185.5,309018.4,4641153.462079981,19656.649957044625
Alaska,Florida,6671247.5,319185.5,4884070.56298122,20685.47532556752
Alaska,Georgia,6284665.7,302098.2,4572503.465979874,19365.897032385346
Alaska,Hawaii,,,4524487.607078114,19162.535747624956
Alaska,Idaho,3838367.6,206718.1,2073024.247274279,8779.867400220475
Alaska,Illinois,5354812.1,262920.9,3760680.816992009,15927.589342554393
Alaska,Indiana,5466305.9,268368.2,3964537.9803432054,16790.984387335928
Alaska,Iowa,4964010.0,244645.4,3395952.339314208,14382.856966507234
Alaska,Kansas,5064711.3,249323.4,3494454.9405845194,14800.04445424032
Alaska,Kentucky,5733048.6,279402.3,4171929.1802948574,17669.347116542926
Alaska,Louisiana,6325078.1,301989.5,4500530.510093875,19061.070395691706
Alaska,Maine,6530766.3,333712.8,4558730.337697184,19307.563783188074
Alaska,Maryland,6331862.1,304135.1,4592160.934938296,19449.152195032784
Alaska,Massachusetts,6765174.4,323123.3,4641089.842979243,19656.3805114415
Alaska,Michigan,5517092.4,270444.2,3817650.89474012,16168.874377722861
Alaska,Minnesota,4524603.5,229253.9,3161487.787171796,13389.830628021724
Alaska,Mississippi,6195269.7,295456.2,4395367.526486443,18615.674229824937
Alaska,Missouri,5349056.7,260267.1,3726664.506817696,15783.520264169067
Alaska,Montana,3440362.3,183179.1,1994608.074772249,8447.75184609423
Alaska,Nebraska,4850413.5,241159.7,3280374.58926925,13893.351201610942
Alaska,Nevada,4265254.6,229004.7,2402855.7793486253,10176.800947829472
Alaska,New Hampshire,6713727.2,325122.0,4546646.118482284,19256.38356063085
Alaska,New Jersey,6421469.0,307168.8,4585918.3188756835,19422.71287994407
Alaska,New Mexico,5168946.1,250649.6,3276528.84542012,13877.063345308743
Alaska,New York,6481393.2,311843.4,4448577.151170974,18841.032640253536
Alaska,North Carolina,6452901.1,310894.7,4719565.126095096,19988.74641640276
Alaska,North Dakota,3883409.8,203165.9,2585147.7736237566,10948.861158877087
Alaska,Ohio,5746234.8,279848.7,4138020.6377813746,17525.73446589759
Alaska,Oklahoma,5400547.9,266251.0,3715020.7985446844,15734.20573501278
Alaska,Oregon,3410280.1,190209.2,1689656.5675727369,7156.192521484532
